word,score
action,0.184825549
ability,0.213648516
fight,0.279027356
battle,0.216589933
big,0.18972988
power,0.163595819
background,0.19178683
annoying,0.211788362
original,0.158574355
kill,0.163172699
hero,0.166780276
cool,0.13247002
human,0.155628837
average,0.171438176
villain,0.111302108
fighting,0.161868528
death,0.201159147
lack,0.135280469
generic,0.149403625
quality,0.114548708
attempt,0.156615416
animated,0.177511681
school,0.103351406
spoiler,0.096567057
soundtrack,0.093166507
god,0.128209149
war,0.070237104
monster,0.103319845
evil,0.138273726
comedy,0.197792902
blood,0.109673381
kid,0.10431942
barely,0.116836679
attack,0.135186901
super,0.08238987
feeling,0.122578079
person,0.091480162
level,0.101489935
dark,0.157101152
save,0.079222148
hope,0.095760263
female,0.108101968
shot,0.067513788
remember,0.070572107
group,0.100074846
strong,0.063966322
funny,0.099039668
happen,0.093902136
die,0.13219619
pacing,0.070982484
