word,score
ability,0.321393342
fight,0.243707611
battle,0.307466029
original,0.172942536
game,0.171253627
design,0.186044544
power,0.154419631
hero,0.16019054
human,0.159941089
soundtrack,0.144918358
adventure,0.252678448
place,0.137827551
awesome,0.277537416
favorite,0.144388113
job,0.135333288
kill,0.12940562
despite,0.150707095
fighting,0.133805881
man,0.121183102
hard,0.126039162
sense,0.114103685
feeling,0.130883191
perfect,0.115763993
help,0.12084017
piece,0.113208645
beautiful,0.215970051
cool,0.14865909
fate,0.126696661
villain,0.090807685
war,0.085093625
loved,0.10705732
black,0.198524785
person,0.102995289
dark,0.13133566
death,0.128289262
animate,0.139716314
funny,0.095292834
blood,0.170776222
filler,0.089929397
emotion,0.097921342
relationship,0.073235166
question,0.074404543
twist,0.060677781
level,0.076995889
shounen,0.063507233
flaw,0.078443094
epic,0.08320515
group,0.07308001
extremely,0.078817451
issue,0.064976233
