word,score
action,0.284297675
school,0.289108911
annoying,0.165830919
romance,0.282744913
comedy,0.26518719
relationship,0.257168165
average,0.297681425
drama,0.223281535
boy,0.252903329
background,0.274632593
feeling,0.288300488
attempt,0.267091813
cute,0.193905648
funny,0.254303242
generic,0.251549258
lead,0.216991619
female,0.248196676
sister,0.18089166
male,0.199733664
spoiler,0.173769882
original,0.187150325
couple,0.163829831
minute,0.189101851
brother,0.179470243
quality,0.168153082
lack,0.192207898
situation,0.154474487
romantic,0.160876221
cliche,0.154698064
typical,0.130625015
happen,0.193749915
beautiful,0.170168113
element,0.231902014
emotion,0.230487028
novel,0.15462113
human,0.176297111
light,0.166396121
opinion,0.149444992
forced,0.187448659
hope,0.170366798
conclusion,0.12361021
soundtrack,0.117034812
remember,0.125066149
woman,0.074709716
normal,0.129360698
kid,0.144506487
happy,0.160523733
slice,0.109954557
disappointed,0.093208149
emotional,0.198074419
