word,score
beautiful,0.265982727
romance,0.269343066
boy,0.219271448
awesome,0.207243881
school,0.245339992
feeling,0.268993801
relationship,0.226457109
drama,0.268305371
cute,0.266408166
emotion,0.239261202
funny,0.214502037
despite,0.237479193
heart,0.190300866
couple,0.237320847
perfect,0.174659624
favorite,0.19842867
loved,0.178700618
person,0.171498135
emotional,0.207203076
place,0.167317421
romantic,0.160185753
original,0.165572925
cry,0.21920968
female,0.182260261
happy,0.170191428
lead,0.162213275
soundtrack,0.142870817
light,0.156750056
slice,0.138190104
close,0.097279528
cliche,0.09431029
laugh,0.145756149
family,0.162878226
realistic,0.131216748
easy,0.172759738
male,0.138241832
extremely,0.161247128
happen,0.145812102
typical,0.106285836
issue,0.137040331
sad,0.117517192
novel,0.121959207
man,0.123999122
dream,0.158921179
student,0.104142298
dramatic,0.155751256
flaw,0.135182417
develop,0.160640822
drawn,0.154034774
dialogue,0.157925938
